Date,Limits in dB(A) Leq*,Leq,Lmin,Lmax,,,Leq,Lmin,Lmax,,
20-Apr,65,62.8,48.3,88.5,Within limit,55,58.2,46.8,74,5.80%,30 Days
20-May,65,65,48.7,88,Within limit,55,62.7,49.4,84.4,14.00%,31 Days
20-Jun,65,68.7,52.5,79.2,5.70%,55,61.8,52.8,73.4,12.40%,30 Days
20-Jul,65,67,53,87.2,3.00%,55,61.3,47.4,85.8,11.50%,31 Days
20-Aug,65,68.9,63.4,81.8,6.00%,55,62.6,53,75.6,13.80%,31 Days
20-Sep,65,69.7,61.4,85.9,7.20%,55,62.9,55.1,85.1,14.40%,30 Days
20-Oct,65,69.1,58.1,98.7,6.30%,55,63.4,55.2,104.8,15.30%,31 Days
20-Nov,65,69.9,61.2,86.5,7.50%,55,62.6,54.3,73.6,13.80%,30 Days
20-Dec,65,70,61.5,87.4,7.70%,55,62.4,54.1,72,13.50%,31 Days
21-Jan,65,70.2,63.8,76.5,8.00%,55,61.2,53.5,70.8,11.30%,31 days
21-Feb,65,71.1,62.7,104,9.40%,55,62.4,54.7,73.4,13.50%,29 days
21-Mar,65,70.7,63.2,89.2,8.80%,55,62.2,54.1,79.8,13.00%,31 days
